name	ui	pharmacological_action_name	pharmacological_action_ui
4-Butyrolactone	D015107	Solvents	D012997
4-Hydroxyaminoquinoline-1-oxide	D015108	Carcinogens	D002273
4-Hydroxyaminoquinoline-1-oxide	D015108	Mutagens	D009153
4-Hydroxycoumarins	D015110	Anticoagulants	D000925
4-Hydroxycoumarins	D015110	Enzyme Inhibitors	D004791
4-Nitroquinoline-1-oxide	D015112	Carcinogens	D002273
4-Nitroquinoline-1-oxide	D015112	Mutagens	D009153
Androstane-3,17-diol	D015113	Anabolic Agents	D045930
Androstenediol	D015114	Anabolic Agents	D045930
5,6-Dihydroxytryptamine	D015115	Serotonin Agents	D018490
5,7-Dihydroxytryptamine	D015116	Serotonin Agents	D018490
Aminocaproic Acid	D015119	Antifibrinolytic Agents	D000933
6-Aminonicotinamide	D015120	Teratogens	D013723
Mercaptopurine	D015122	Antimetabolites	D000963
Mercaptopurine	D015122	Antimetabolites, Antineoplastic	D000964
Mercaptopurine	D015122	Immunosuppressive Agents	D007166
Mercaptopurine	D015122	Nucleic Acid Synthesis Inhibitors	D019384
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	D015123	Carcinogens	D002273
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	D015123	Mutagens	D009153
9,10-Dimethyl-1,2-benzanthracene	D015127	Carcinogens	D002273
Zidovudine	D015215	Antimetabolites	D000963
Zidovudine	D015215	Reverse Transcriptase Inhibitors	D018894
Zidovudine	D015215	Anti-HIV Agents	D019380
Dideoxynucleosides	D015224	Antimetabolites	D000963
Dideoxynucleosides	D015224	Antiviral Agents	D000998
Dideoxynucleosides	D015224	Reverse Transcriptase Inhibitors	D018894
Dinoprostone	D015232	Oxytocics	D010120
Dinoprost	D015237	Abortifacient Agents, Nonsteroidal	D000020
Dinoprost	D015237	Oxytocics	D010120
Phorbol 12,13-Dibutyrate	D015240	Carcinogens	D002273
Ofloxacin	D015242	Anti-Infective Agents, Urinary	D000892
Ofloxacin	D015242	Anti-Bacterial Agents	D000900
Ofloxacin	D015242	Topoisomerase II Inhibitors	D059005
Ofloxacin	D015242	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Thiorphan	D015244	Protease Inhibitors	D011480
Gemfibrozil	D015248	Hypolipidemic Agents	D000960
Gemfibrozil	D015248	Cytochrome P-450 CYP2C8 Inhibitors	D065687
Aclarubicin	D015250	Antibiotics, Antineoplastic	D000903
Aclarubicin	D015250	Topoisomerase II Inhibitors	D059005
Epirubicin	D015251	Antibiotics, Antineoplastic	D000903
Epirubicin	D015251	Topoisomerase II Inhibitors	D059005
Idarubicin	D015255	Antibiotics, Antineoplastic	D000903
Idarubicin	D015255	Topoisomerase II Inhibitors	D059005
Cefmenoxime	D015281	Anti-Bacterial Agents	D000900
Octreotide	D015282	Gastrointestinal Agents	D005765
Octreotide	D015282	Antineoplastic Agents, Hormonal	D018931
Citalopram	D015283	Serotonin Uptake Inhibitors	D017367
Citalopram	D015283	Antidepressive Agents, Second-Generation	D018687
Kassinin	D015286	Neurotransmitter Agents	D018377
Neurokinin B	D015287	Neurotransmitter Agents	D018377
Neurokinin A	D015288	Neurotransmitter Agents	D018377
Ceftizoxime	D015296	Anti-Bacterial Agents	D000900
Cefotiam	D015310	Anti-Bacterial Agents	D000900
Cefmetazole	D015311	Anti-Bacterial Agents	D000900
Cefotetan	D015313	Anti-Bacterial Agents	D000900
Tachykinins	D015320	Neurotransmitter Agents	D018377
Enoxacin	D015365	Anti-Bacterial Agents	D000900
Enoxacin	D015365	Topoisomerase II Inhibitors	D059005
Enoxacin	D015365	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Pefloxacin	D015366	Anti-Bacterial Agents	D000900
Pefloxacin	D015366	Topoisomerase II Inhibitors	D059005
Pefloxacin	D015366	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Nimustine	D015376	Antineoplastic Agents	D000970
Cilastatin	D015377	Protease Inhibitors	D011480
Imipenem	D015378	Anti-Bacterial Agents	D000900
Isotretinoin	D015474	Dermatologic Agents	D003879
Isotretinoin	D015474	Teratogens	D013723
Deltaretrovirus Antibodies	D015480	Immunologic Factors	D007155
HTLV-I Antibodies	D015481	Immunologic Factors	D007155
HTLV-II Antibodies	D015482	Immunologic Factors	D007155
HIV Antibodies	D015483	Immunologic Factors	D007155
Josamycin	D015570	Anti-Bacterial Agents	D000900
Spiramycin	D015572	Anti-Bacterial Agents	D000900
Spiramycin	D015572	Coccidiostats	D003049
Roxithromycin	D015575	Anti-Bacterial Agents	D000900
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	D015632	Neurotoxins	D009498
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	D015632	Dopamine Agents	D015259
Cytochalasin D	D015638	Nucleic Acid Synthesis Inhibitors	D019384
Erythromycin Ethylsuccinate	D015643	Anti-Bacterial Agents	D000900
Erythromycin Ethylsuccinate	D015643	Enzyme Inhibitors	D004791
Erythromycin Ethylsuccinate	D015643	Gastrointestinal Agents	D005765
Erythromycin Ethylsuccinate	D015643	Protein Synthesis Inhibitors	D011500
Miocamycin	D015644	Anti-Bacterial Agents	D000900
Tylosin	D015645	Anti-Bacterial Agents	D000900
2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	D015647	Dopamine Agonists	D018491
Pentostatin	D015649	Antineoplastic Agents	D000970
Pentostatin	D015649	Adenosine Deaminase Inhibitors	D058892
24,25-Dihydroxyvitamin D 3	D015650	Vitamins	D014815
24,25-Dihydroxyvitamin D 3	D015650	Bone Density Conservation Agents	D050071
25-Hydroxyvitamin D 2	D015652	Vitamins	D014815
25-Hydroxyvitamin D 2	D015652	Bone Density Conservation Agents	D050071
1-Methyl-4-phenylpyridinium	D015655	Herbicides	D006540
Trimethoprim, Sulfamethoxazole Drug Combination	D015662	Anti-Infective Agents, Urinary	D000892
Trimethoprim, Sulfamethoxazole Drug Combination	D015662	Anti-Bacterial Agents	D000900
Trimethoprim, Sulfamethoxazole Drug Combination	D015662	Antimalarials	D000962
Fibrin Tissue Adhesive	D015718	Hemostatics	D006490
Fibrin Tissue Adhesive	D015718	Tissue Adhesives	D014014
Fluconazole	D015725	Antifungal Agents	D000935
Fluconazole	D015725	14-alpha Demethylase Inhibitors	D058888
Fluconazole	D015725	Cytochrome P-450 CYP2C9 Inhibitors	D065688
Fluconazole	D015725	Cytochrome P-450 CYP2C19 Inhibitors	D065689
Mifepristone	D015735	Abortifacient Agents, Steroidal	D000021
Mifepristone	D015735	Contraceptives, Oral, Synthetic	D003280
Mifepristone	D015735	Contraceptives, Postcoital, Synthetic	D003283
Mifepristone	D015735	Hormone Antagonists	D006727
Mifepristone	D015735	Luteolytic Agents	D008186
Mifepristone	D015735	Menstruation-Inducing Agents	D008600
Felodipine	D015736	Anti-Arrhythmia Agents	D000889
Felodipine	D015736	Antihypertensive Agents	D000959
Felodipine	D015736	Calcium Channel Blockers	D002121
Felodipine	D015736	Vasodilator Agents	D014665
Nisoldipine	D015737	Antihypertensive Agents	D000959
Nisoldipine	D015737	Calcium Channel Blockers	D002121
Nisoldipine	D015737	Vasodilator Agents	D014665
Famotidine	D015738	Anti-Ulcer Agents	D000897
Famotidine	D015738	Histamine H2 Antagonists	D006635
Nocodazole	D015739	Antineoplastic Agents	D000970
Nocodazole	D015739	Tubulin Modulators	D050257
Calcitonin Gene-Related Peptide	D015740	Vasodilator Agents	D014665
Propofol	D015742	Hypnotics and Sedatives	D006993
Propofol	D015742	Anesthetics, Intravenous	D018686
Ionomycin	D015759	Calcium Ionophores	D061207
Alfentanil	D015760	Analgesics, Opioid	D000701
Alfentanil	D015760	Narcotics	D009294
Alfentanil	D015760	Anesthetics, Intravenous	D018686
4-Aminopyridine	D015761	Potassium Channel Blockers	D026902
2-Amino-5-phosphonovalerate	D015763	Excitatory Amino Acid Antagonists	D018691
Bepridil	D015764	Anti-Arrhythmia Agents	D000889
Bepridil	D015764	Antihypertensive Agents	D000959
Bepridil	D015764	Calcium Channel Blockers	D002121
Bepridil	D015764	Vasodilator Agents	D014665
Almitrine	D015765	Respiratory System Agents	D019141
Albendazole	D015766	Anthelmintics	D000871
Albendazole	D015766	Anticestodal Agents	D000923
Albendazole	D015766	Antiprotozoal Agents	D000981
Albendazole	D015766	Tubulin Modulators	D050257
Mefloquine	D015767	Antimalarials	D000962
4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine	D015772	Anti-Inflammatory Agents, Non-Steroidal	D000894
4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine	D015772	Lipoxygenase Inhibitors	D016859
4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine	D015772	Cyclooxygenase Inhibitors	D016861
Enalaprilat	D015773	Angiotensin-Converting Enzyme Inhibitors	D000806
Enalaprilat	D015773	Antihypertensive Agents	D000959
Ganciclovir	D015774	Antiviral Agents	D000998
Betaxolol	D015784	Antihypertensive Agents	D000959
Betaxolol	D015784	Sympatholytics	D013565
Betaxolol	D015784	Adrenergic beta-1 Receptor Antagonists	D058671
Cefonicid	D015790	Anti-Bacterial Agents	D000900
Heparin Cofactor II	D015844	Antithrombins	D000991
Heparin Cofactor II	D015844	Serine Proteinase Inhibitors	D015842
Interleukin-4	D015847	Adjuvants, Immunologic	D000276
Interleukin-4	D015847	Antineoplastic Agents	D000970
Interleukin-4	D015847	Antirheumatic Agents	D018501
Plasminogen Inactivators	D015849	Serine Proteinase Inhibitors	D015842
Cystatins	D015891	Cysteine Proteinase Inhibitors	D015853
Complement C1q	D015922	Immunologic Factors	D007155
Complement C1r	D015923	Immunologic Factors	D007155
Complement C3a	D015926	Immunologic Factors	D007155
Complement C3c	D015932	Immunologic Factors	D007155
Complement C3d	D015933	Immunologic Factors	D007155
Complement C4a	D015934	Immunologic Factors	D007155
Complement C4b	D015935	Immunologic Factors	D007155
Complement C5a	D015936	Immunologic Factors	D007155
Complement C5a, des-Arginine	D015937	Immunologic Factors	D007155
Complement Membrane Attack Complex	D015938	Immunologic Factors	D007155
Kitasamycin	D015939	Anti-Bacterial Agents	D000900
Trichosanthin	D015978	Abortifacient Agents, Nonsteroidal	D000020
Trichosanthin	D015978	Antineoplastic Agents, Phytogenic	D000972
Trichosanthin	D015978	Anti-HIV Agents	D019380
Zalcitabine	D016047	Antimetabolites	D000963
Zalcitabine	D016047	Reverse Transcriptase Inhibitors	D018894
Zalcitabine	D016047	Anti-HIV Agents	D019380
Dideoxyadenosine	D016048	Antimetabolites	D000963
Dideoxyadenosine	D016048	Antiviral Agents	D000998
Didanosine	D016049	Antimetabolites	D000963
Didanosine	D016049	Reverse Transcriptase Inhibitors	D018894
Didanosine	D016049	Anti-HIV Agents	D019380
Carboplatin	D016190	Antineoplastic Agents	D000970
Carboplatin	D016190	Cross-Linking Reagents	D003432
N-Methylaspartate	D016202	Excitatory Amino Acid Agonists	D018690
Methacholine Chloride	D016210	Miotics	D008916
Methacholine Chloride	D016210	Parasympathomimetics	D010277
Methacholine Chloride	D016210	Bronchoconstrictor Agents	D016085
Methacholine Chloride	D016210	Muscarinic Agonists	D018721
Endothelial Growth Factors	D016228	Growth Substances	D006133
Anistreplase	D016255	Fibrinolytic Agents	D005343
Fura-2	D016257	Fluorescent Dyes	D005456
Fura-2	D016257	Calcium Chelating Agents	D065096
Technetium Tc 99m Pentetate	D016284	Chelating Agents	D002614
Technetium Tc 99m Pentetate	D016284	Radiopharmaceuticals	D019275
Iloprost	D016285	Platelet Aggregation Inhibitors	D010975
Iloprost	D016285	Vasodilator Agents	D014665
Dizocilpine Maleate	D016291	Excitatory Amino Acid Antagonists	D018691
Dizocilpine Maleate	D016291	Neuroprotective Agents	D018696
Moricizine	D016293	Anti-Arrhythmia Agents	D000889
Moricizine	D016293	Voltage-Gated Sodium Channel Blockers	D061567
Thymopentin	D016305	Adjuvants, Immunologic	D000276
Ethylketocyclazocine	D016314	Analgesics, Opioid	D000701
Guanfacine	D016316	Antihypertensive Agents	D000959
Guanfacine	D016316	Adrenergic alpha-2 Receptor Agonists	D058647
Quisqualic Acid	D016318	Excitatory Amino Acid Agonists	D018690
Tacrolimus	D016559	Immunosuppressive Agents	D007166
Tacrolimus	D016559	Calcineurin Inhibitors	D065095
Nizatidine	D016567	Anti-Ulcer Agents	D000897
Nizatidine	D016567	Histamine H2 Antagonists	D006635
Cyclosporine	D016572	Antifungal Agents	D000935
Cyclosporine	D016572	Dermatologic Agents	D003879
Cyclosporine	D016572	Enzyme Inhibitors	D004791
Cyclosporine	D016572	Immunosuppressive Agents	D007166
Cyclosporine	D016572	Antirheumatic Agents	D018501
Cyclosporine	D016572	Calcineurin Inhibitors	D065095
Fleroxacin	D016576	Anti-Infective Agents	D000890
Fleroxacin	D016576	Topoisomerase II Inhibitors	D059005
Astemizole	D016589	Anti-Allergic Agents	D018926
Astemizole	D016589	Histamine H1 Antagonists, Non-Sedating	D039563
Aphidicolin	D016590	Antiviral Agents	D000998
Aphidicolin	D016590	Enzyme Inhibitors	D004791
Terfenadine	D016593	Histamine H1 Antagonists, Non-Sedating	D039563
Misoprostol	D016595	Abortifacient Agents, Nonsteroidal	D000020
Misoprostol	D016595	Anti-Ulcer Agents	D000897
Misoprostol	D016595	Oxytocics	D010120
Trimetrexate	D016597	Antifungal Agents	D000935
Trimetrexate	D016597	Antimetabolites, Antineoplastic	D000964
Trimetrexate	D016597	Folic Acid Antagonists	D005493
Aflatoxin B1	D016604	Poisons	D011042
Aflatoxin M1	D016607	Poisons	D011042
Enprostil	D016620	Anti-Ulcer Agents	D000897
Oxidopamine	D016627	Sympatholytics	D013565
Oxidopamine	D016627	Adrenergic Agents	D018663
Rioprostil	D016630	Anti-Ulcer Agents	D000897
Bupropion	D016642	Antidepressive Agents, Second-Generation	D018687
Bupropion	D016642	Dopamine Uptake Inhibitors	D018765
Bupropion	D016642	Cytochrome P-450 CYP2D6 Inhibitors	D065690
Canthaxanthin	D016644	Antioxidants	D000975
Fluorescein-5-isothiocyanate	D016650	Fluorescent Dyes	D005456
Lithium Carbonate	D016651	Antidepressive Agents	D000928
Lithium Carbonate	D016651	Enzyme Inhibitors	D004791
Lithium Carbonate	D016651	Antimanic Agents	D018692
Fluvoxamine	D016666	Anti-Anxiety Agents	D014151
Fluvoxamine	D016666	Serotonin Uptake Inhibitors	D017367
Fluvoxamine	D016666	Antidepressive Agents, Second-Generation	D018687
Fluvoxamine	D016666	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Fluvoxamine	D016666	Cytochrome P-450 CYP2C19 Inhibitors	D065689
Gabexate	D016670	Anticoagulants	D000925
Gabexate	D016670	Serine Proteinase Inhibitors	D015842
Tocainide	D016677	Anti-Arrhythmia Agents	D000889
Tocainide	D016677	Voltage-Gated Sodium Channel Blockers	D061567
Lupus Coagulation Inhibitor	D016682	Immunologic Factors	D007155
Mitomycin	D016685	Alkylating Agents	D000477
Mitomycin	D016685	Antibiotics, Antineoplastic	D000903
Mitomycin	D016685	Cross-Linking Reagents	D003432
Mitomycin	D016685	Nucleic Acid Synthesis Inhibitors	D019384
Technetium Tc 99m Pyrophosphate	D016698	Radiopharmaceuticals	D019275
Encainide	D016700	Anti-Arrhythmia Agents	D000889
Encainide	D016700	Voltage-Gated Sodium Channel Blockers	D061567
Mupirocin	D016712	Anti-Bacterial Agents	D000900
Mupirocin	D016712	Protein Synthesis Inhibitors	D011500
Ritanserin	D016713	Serotonin Antagonists	D012702
Ritanserin	D016713	Antipsychotic Agents	D014150
Ritanserin	D016713	Anti-Anxiety Agents	D014151
Ritanserin	D016713	Antidepressive Agents, Second-Generation	D018687
Leuprolide	D016729	Fertility Agents, Female	D005300
Leuprolide	D016729	Antineoplastic Agents, Hormonal	D018931
Immunoglobulins, Intravenous	D016756	Immunologic Factors	D007155
Muromonab-CD3	D016853	Immunologic Factors	D007155
Muromonab-CD3	D016853	Immunosuppressive Agents	D007166
CD4 Immunoadhesins	D016860	Immunologic Factors	D007155
ISCOMs	D016882	Adjuvants, Immunologic	D000276
Interferon-alpha	D016898	Antiviral Agents	D000998
Interferon-alpha	D016898	Immunologic Factors	D007155
Interferon-beta	D016899	Antineoplastic Agents	D000970
Interferon-beta	D016899	Antiviral Agents	D000998
Interferon-beta	D016899	Immunologic Factors	D007155
Levonorgestrel	D016912	Contraceptive Agents, Female	D003271
Levonorgestrel	D016912	Contraceptives, Oral, Synthetic	D003280
Swainsonine	D017026	Adjuvants, Immunologic	D000276
Swainsonine	D017026	Antineoplastic Agents, Phytogenic	D000972
Swainsonine	D017026	Enzyme Inhibitors	D004791
Pravastatin	D017035	Anticholesteremic Agents	D000924
Pravastatin	D017035	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161
Desogestrel	D017135	Contraceptives, Oral, Synthetic	D003280
Desogestrel	D017135	Progestins	D011372
Nonoxynol	D017137	Spermatocidal Agents	D013089
Nonoxynol	D017137	Surface-Active Agents	D013501
Antibodies, Antiphospholipid	D017152	Immunologic Factors	D007155
Antibodies, Anticardiolipin	D017153	Immunologic Factors	D007155
Paclitaxel	D017239	Antineoplastic Agents, Phytogenic	D000972
Paclitaxel	D017239	Tubulin Modulators	D050257
Complement Factor H	D017242	Complement Inactivating Agents	D051056
Complement Factor I	D017244	Complement Inactivating Agents	D051056
Foscarnet	D017245	Antiviral Agents	D000998
Foscarnet	D017245	Reverse Transcriptase Inhibitors	D018894
Acitretin	D017255	Keratolytic Agents	D007641
Technetium Tc 99m Sestamibi	D017256	Radiopharmaceuticals	D019275
Ramipril	D017257	Angiotensin-Converting Enzyme Inhibitors	D000806
Ramipril	D017257	Antihypertensive Agents	D000959
Medroxyprogesterone Acetate	D017258	Contraceptive Agents, Female	D003271
Medroxyprogesterone Acetate	D017258	Contraceptive Agents, Male	D003272
Medroxyprogesterone Acetate	D017258	Antineoplastic Agents, Hormonal	D018931
Dimaprit	D017259	Histamine Agonists	D017442
Technetium Tc 99m Mertiatide	D017263	Radiopharmaceuticals	D019275
Procaterol	D017265	Bronchodilator Agents	D001993
Procaterol	D017265	Sympathomimetics	D013566
Procaterol	D017265	Adrenergic beta-2 Receptor Agonists	D058666
Celiprolol	D017272	Anti-Arrhythmia Agents	D000889
Celiprolol	D017272	Antihypertensive Agents	D000959
Celiprolol	D017272	Sympathomimetics	D013566
Celiprolol	D017272	Vasodilator Agents	D014665
Celiprolol	D017272	Adrenergic beta-1 Receptor Antagonists	D058671
Goserelin	D017273	Antineoplastic Agents, Hormonal	D018931
Nafarelin	D017274	Fertility Agents, Female	D005300
Isradipine	D017275	Antihypertensive Agents	D000959
Isradipine	D017275	Calcium Channel Blockers	D002121
Isradipine	D017275	Vasodilator Agents	D014665
Menogaril	D017290	Antibiotics, Antineoplastic	D000903
Clarithromycin	D017291	Anti-Bacterial Agents	D000900
Clarithromycin	D017291	Protein Synthesis Inhibitors	D011500
Clarithromycin	D017291	Cytochrome P-450 CYP3A Inhibitors	D065692
Doxazosin	D017292	Antihypertensive Agents	D000959
Doxazosin	D017292	Adrenergic alpha-1 Receptor Antagonists	D058668
Protein S	D017293	Anticoagulants	D000925
Ondansetron	D017294	Antiemetics	D000932
Ondansetron	D017294	Antipruritics	D000982
Ondansetron	D017294	Serotonin Antagonists	D012702
Ondansetron	D017294	Antipsychotic Agents	D014150
Ondansetron	D017294	Anti-Anxiety Agents	D014151
Bisoprolol	D017298	Antihypertensive Agents	D000959
Bisoprolol	D017298	Sympatholytics	D013565
Bisoprolol	D017298	Adrenergic beta-1 Receptor Antagonists	D058671
Pipecuronium	D017300	Neuromuscular Nondepolarizing Agents	D003473
Pipecuronium	D017300	Nicotinic Antagonists	D018733
Annexin A5	D017304	Enzyme Inhibitors	D004791
Xamoterol	D017307	Adrenergic beta-1 Receptor Agonists	D058665
Etodolac	D017308	Cyclooxygenase 2 Inhibitors	D052246
Amlodipine	D017311	Antihypertensive Agents	D000959
Amlodipine	D017311	Calcium Channel Blockers	D002121
Amlodipine	D017311	Vasodilator Agents	D014665
Toremifene	D017312	Antineoplastic Agents, Hormonal	D018931
Toremifene	D017312	Selective Estrogen Receptor Modulators	D020845
Toremifene	D017312	Bone Density Conservation Agents	D050071
Fenretinide	D017313	Antineoplastic Agents	D000970
Fenretinide	D017313	Anticarcinogenic Agents	D016588
Cilazapril	D017315	Angiotensin-Converting Enzyme Inhibitors	D000806
Cilazapril	D017315	Antihypertensive Agents	D000959
Fadrozole	D017316	Estrogen Antagonists	D004965
Fadrozole	D017316	Antineoplastic Agents, Hormonal	D018931
Fadrozole	D017316	Aromatase Inhibitors	D047072
Dihematoporphyrin Ether	D017323	Antineoplastic Agents	D000970
Dihematoporphyrin Ether	D017323	Dermatologic Agents	D003879
Dihematoporphyrin Ether	D017323	Photosensitizing Agents	D017319
Hematoporphyrin Derivative	D017324	Antineoplastic Agents	D000970
Hematoporphyrin Derivative	D017324	Photosensitizing Agents	D017319
Fosinopril	D017328	Angiotensin-Converting Enzyme Inhibitors	D000806
Fosinopril	D017328	Antihypertensive Agents	D000959
Triptorelin Pamoate	D017329	Luteolytic Agents	D008186
Triptorelin Pamoate	D017329	Antineoplastic Agents, Hormonal	D018931
Remoxipride	D017330	Antipsychotic Agents	D014150
Remoxipride	D017330	Dopamine Antagonists	D018492
Cetirizine	D017332	Anti-Allergic Agents	D018926
Cetirizine	D017332	Histamine H1 Antagonists, Non-Sedating	D039563
Teicoplanin	D017334	Anti-Bacterial Agents	D000900
Enoximone	D017335	Cardiotonic Agents	D002316
Enoximone	D017335	Vasodilator Agents	D014665
Enoximone	D017335	Phosphodiesterase 3 Inhibitors	D058987
Loratadine	D017336	Antipruritics	D000982
Loratadine	D017336	Anti-Allergic Agents	D018926
Loratadine	D017336	Histamine H1 Antagonists, Non-Sedating	D039563
Cladribine	D017338	Antineoplastic Agents	D000970
Cladribine	D017338	Immunosuppressive Agents	D007166
Etanidazole	D017341	Antineoplastic Agents	D000970
Etanidazole	D017341	Radiation-Sensitizing Agents	D011838
Cell Wall Skeleton	D017358	Adjuvants, Immunologic	D000276
8-Hydroxy-2-(di-n-propylamino)tetralin	D017371	Serotonin Receptor Agonists	D017366
Cyproterone Acetate	D017373	Androgen Antagonists	D000726
Cyproterone Acetate	D017373	Antineoplastic Agents	D000970
Cyproterone Acetate	D017373	Contraceptive Agents, Male	D003272
Paroxetine	D017374	Serotonin Uptake Inhibitors	D017367
Paroxetine	D017374	Antidepressive Agents, Second-Generation	D018687
Paroxetine	D017374	Cytochrome P-450 CYP2D6 Inhibitors	D065690
Plasminogen Activator Inhibitor 1	D017395	Serine Proteinase Inhibitors	D015842
Plasminogen Activator Inhibitor 2	D017396	Serine Proteinase Inhibitors	D015842
Sufentanil	D017409	Analgesics, Opioid	D000701
Sufentanil	D017409	Adjuvants, Anesthesia	D000759
Sufentanil	D017409	Narcotics	D009294
Sufentanil	D017409	Anesthetics, Intravenous	D018686
Impromidine	D017446	Histamine Agonists	D017442
1-Deoxynojirimycin	D017485	Antiviral Agents	D000998
1-Deoxynojirimycin	D017485	Enzyme Inhibitors	D004791
Daptomycin	D017576	Anti-Bacterial Agents	D000900
Peplomycin	D017663	Antibiotics, Antineoplastic	D000903
Hydroxyl Radical	D017665	Oxidants	D016877
Deuterium Oxide	D017666	Antineoplastic Agents	D000970
Deuterium Oxide	D017666	Radiation-Protective Agents	D011837
Sodium Chloride, Dietary	D017673	Flavoring Agents	D005421
Radon Daughters	D017687	Carcinogens, Environmental	D002274
Lisinopril	D017706	Angiotensin-Converting Enzyme Inhibitors	D000806
Lisinopril	D017706	Antihypertensive Agents	D000959
Lisinopril	D017706	Cardiotonic Agents	D002316
Nadroparin	D017762	Anticoagulants	D000925
Nadroparin	D017762	Fibrinolytic Agents	D005343
Rifabutin	D017828	Anti-Bacterial Agents	D000900
Rifabutin	D017828	Antibiotics, Antitubercular	D000904
Granisetron	D017829	Antiemetics	D000932
Granisetron	D017829	Serotonin Antagonists	D012702
Octoxynol	D017830	Antifoaming Agents	D000934
Octoxynol	D017830	Detergents	D003902
Octoxynol	D017830	Excipients	D005079
Octoxynol	D017830	Spermatocidal Agents	D013089
Octoxynol	D017830	Surface-Active Agents	D013501
Nedocromil	D017835	Anti-Inflammatory Agents	D000893
Nedocromil	D017835	Anti-Allergic Agents	D018926
Nedocromil	D017835	Anti-Asthmatic Agents	D018927
Durapatite	D017886	Biocompatible Materials	D001672
Nitric Acid	D017942	Explosive Agents	D053834
Azithromycin	D017963	Anti-Bacterial Agents	D000900
Itraconazole	D017964	Antifungal Agents	D000935
Itraconazole	D017964	14-alpha Demethylase Inhibitors	D058888
Itraconazole	D017964	Cytochrome P-450 CYP3A Inhibitors	D065692
Enoxaparin	D017984	Anticoagulants	D000925
Enoxaparin	D017984	Fibrinolytic Agents	D005343
Dalteparin	D017985	Anticoagulants	D000925
Dalteparin	D017985	Fibrinolytic Agents	D005343
Lithium Compounds	D018020	Antidepressive Agents	D000928
Lithium Compounds	D018020	Antimanic Agents	D018692
Lithium Chloride	D018021	Adjuvants, Immunologic	D000276
Lithium Chloride	D018021	Antimanic Agents	D018692
Rho(D) Immune Globulin	D018029	Immunologic Factors	D007155
Antibodies, Bispecific	D018033	Immunologic Factors	D007155
Sodium Selenite	D018038	Trace Elements	D014131
Protein C Inhibitor	D018046	Serine Proteinase Inhibitors	D015842
Stavudine	D018119	Antimetabolites	D000963
Stavudine	D018119	Reverse Transcriptase Inhibitors	D018894
Stavudine	D018119	Anti-HIV Agents	D019380
Finasteride	D018120	5-alpha Reductase Inhibitors	D058891
Finasteride	D018120	Urological Agents	D064804
Sumatriptan	D018170	Vasoconstrictor Agents	D014662
Sumatriptan	D018170	Serotonin 5-HT1 Receptor Agonists	D058825
alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	D018350	Excitatory Amino Acid Agonists	D018690
Interleukin-12	D018664	Adjuvants, Immunologic	D000276
Interleukin-12	D018664	Angiogenesis Inhibitors	D020533
Bethanechol	D018723	Parasympathomimetics	D010277
Bethanechol	D018723	Muscarinic Agonists	D018721
Hexamethonium	D018738	Antihypertensive Agents	D000959
Hexamethonium	D018738	Ganglionic Blockers	D005730
Hexamethonium	D018738	Nicotinic Antagonists	D018733
6-Cyano-7-nitroquinoxaline-2,3-dione	D018750	Excitatory Amino Acid Antagonists	D018691
Immunoconjugates	D018796	Immunologic Factors	D007155
N-Methyl-3,4-methylenedioxyamphetamine	D018817	Hallucinogens	D006213
N-Methyl-3,4-methylenedioxyamphetamine	D018817	Serotonin Agents	D018490
N-Methyl-3,4-methylenedioxyamphetamine	D018817	Adrenergic Uptake Inhibitors	D018759
Fenoldopam	D018818	Antihypertensive Agents	D000959
Fenoldopam	D018818	Vasodilator Agents	D014665
Fenoldopam	D018818	Dopamine Agonists	D018491
alpha-Endorphin	D018822	Neurotransmitter Agents	D018377
gamma-Endorphin	D018823	Neurotransmitter Agents	D018377
Immunoglobulins, Thyroid-Stimulating	D018828	Immunologic Factors	D007155
Excitatory Amino Acids	D018846	Neurotransmitter Agents	D018377
Opioid Peptides	D018847	Neurotransmitter Agents	D018377
Hepatitis C Antibodies	D018937	Immunologic Factors	D007155
CD59 Antigens	D018957	Complement Inactivating Agents	D051056
Risperidone	D018967	Serotonin Antagonists	D012702
Risperidone	D018967	Antipsychotic Agents	D014150
Risperidone	D018967	Dopamine Antagonists	D018492
Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate	D018998	Molecular Probes	D015335
Charybdotoxin	D018999	Neurotoxins	D009498
Antibodies, Blocking	D019138	Immunologic Factors	D007155
beta Carotene	D019207	Provitamins	D000072664
Quinpirole	D019257	Dopamine Agonists	D018491
